Track Name,Artist(s) Name,Artist Count,Released Year,Released Month,Spotify Playlists Ranking,Spotify Charts Ranking,Spotify Streams,Apple Playlists Ranking,Apple Charts Ranking,Deezer Playlists Ranking,Deezer Charts Ranking,BPM,Key,Deezer Genre
Riptide,Vance Joy,1,1975,1,31123,55,2009094673,300,65,1003,1,102,C#,Alternative
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,2022,4,2790,30,600976848,60,96,71,0,101,A#,Pop
Back To December (Taylor's Version),Taylor Swift,1,2023,7,139,17,39228929,16,72,5,0,142,D,Country
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,2021,7,17050,36,2665343922,492,99,798,31,170,C#,Pop
El Merengue,"Marshmello, Manuel Turizo",2,2023,3,2114,44,223633238,80,75,110,11,124,G#,Pop
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,2022,5,8870,43,1440757818,104,120,141,26,92,C#,Latin Music
Makeba,Jain,1,2015,6,6060,53,165484133,150,148,2703,22,116,D,Pop
MONTAGEM - FR PUNK,"Ayparia, unxbected",2,2012,6,641,50,58054811,1,52,8,0,129,A,Electro
Fast Car,Luke Combs,1,2023,3,1446,12,157058870,57,97,35,0,98,G#,Country
What It Is (Solo Version),Doechii,1,2023,3,804,25,95131998,29,76,24,0,172,C#,R&B
Coco Chanel,"Bad Bunny, Eladio Carrion",2,2023,3,1962,38,250305248,28,89,29,5,150,D,Latin Music
Still With You,Jung Kook,1,2020,6,31,39,38411956,2,107,8,0,88,C#,Asian Music
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,2023,5,2175,23,144565150,69,145,69,2,143,D#,Rap/Hip Hop
Say Yes To Heaven,Lana Del Rey,1,2023,3,2000,46,127567540,49,105,63,1,100,F#,Alternative
Snooze,SZA,1,2022,12,2839,25,399686758,58,156,42,1,143,F,R&B
Summertime Sadness,Lana Del Rey,1,2011,1,20333,52,983637508,89,143,1632,3,112,C#,Alternative
Take Two,BTS,1,2023,6,674,47,118482347,20,106,25,4,93,G,Asian Music
Lover,Taylor Swift,1,2012,1,8448,23,882831184,160,110,163,0,206,G,Pop
Chemical,Post Malone,1,2023,4,2528,39,172825906,56,91,59,3,170,D,Pop
Mockingbird,Eminem,1,2004,1,12985,61,1241559043,49,98,2394,5,84,E,Pop
New Jeans,NewJeans,1,2023,7,77,35,29562220,8,166,4,4,134,E,Asian Music
Primera Cita,Carin Leon,1,2022,4,266,27,77309611,6,40,6,6,158,A#,Latin Music
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",3,2017,11,21097,52,1605224506,384,135,1034,37,116,C#,Pop
Dandelions,Ruth B.,1,2017,4,3423,21,1116995633,41,100,59,1,117,C#,Singer & Songwriter
Bones,Imagine Dragons,1,2021,3,4198,44,838079900,98,108,327,17,114,F,Alternative
Set Fire to the Rain,Adele,1,2011,1,14739,43,1163620694,88,112,2163,5,108,D,Pop
Money Trees,"Kendrick Lamar, Jay Rock",2,2012,1,26792,32,1093605526,69,113,695,0,144,E,Pop
Tak Segampang Itu,Anggi Marito,1,2022,12,213,6,179659294,7,6,0,0,130,F,Pop
Mine (Taylor's Version),Taylor Swift,1,2023,7,99,15,36912123,21,52,6,1,121,G,Country
Everybody Wants To Rule The World,Tears For Fears,1,1985,2,41751,25,1205951614,101,32,2655,0,112,G,Rock
No Role Modelz,J. Cole,1,2014,12,21164,36,1791000570,80,65,476,0,100,A#,Rap/Hip Hop
Tattoo,Loreen,1,2023,2,2988,59,201660859,74,102,145,18,150,D#,Pop
Rara Vez,"Taiu, Milo j",2,2023,2,893,38,248088961,19,23,24,3,120,F,Rap/Hip Hop
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beï¿½ï",3,2023,5,1094,34,90839753,40,58,47,8,127,B,Pop
august,Taylor Swift,1,2020,7,7324,22,607123776,25,81,61,1,90,F,Alternative
LUNA,"Junior H, Peso Pluma",2,2023,6,201,11,55842345,19,117,8,1,128,A,Rap/Hip Hop
Nonsense,Sabrina Carpenter,1,2022,7,2346,27,342897938,69,12,38,8,139,G#,Pop
Que Vuelvas,"Carin Leon, Grupo Frontera",2,2022,12,763,26,2762,21,110,21,9,162,A#,Traditional Mexicano
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",3,2011,8,6074,52,1953533826,201,44,6551,2,146,D,Rap/Hip Hop
lovely - Bonus Track,"Billie Eilish, Khalid",2,2017,8,15032,30,2355719893,221,96,1078,2,115,E,Alternative
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2,2023,6,871,32,66902503,25,59,32,5,128,B,Latin Music
Queencard,(G)I-DLE,1,2023,5,451,33,96273746,10,126,7,0,130,E,Asian Music
OMG,NewJeans,1,2023,1,1783,27,430977451,26,124,15,1,127,A,Asian Music
Radio,Lana Del Rey,1,2011,1,9389,46,284819874,24,122,282,3,150,D,Rock
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2,2023,1,5724,44,721975598,119,108,254,29,122,D,Latin Music
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",5,2023,5,182,8,54225632,3,88,1,0,110,G,Asian Music
Perfect,Ed Sheeran,1,2017,1,16596,13,2559529074,7,0,2094,0,95,G#,Pop
Romantic Homicide,d4vd,1,2022,7,2335,23,681583126,82,55,50,0,132,F#,Alternative
Believer,Imagine Dragons,1,2017,1,18986,23,2594040133,250,121,2969,10,125,A#,Alternative
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2,2023,6,293,8,11956641,5,2,30,2,133,B,Brazilian Music
Without Me,Eminem,1,2002,1,21081,43,1687664027,98,76,3889,5,112,G,Rap/Hip Hop
Stargirl Interlude,"The Weeknd, Lana Del Rey",2,2016,11,1275,32,611700552,13,8,5,0,90,F,R&B
Ojitos Lindos,"Bomba Estï¿½ï¿½reo, Bad B",2,2022,5,6135,38,1133865788,71,113,99,13,80,D#,Latin Music
Somewhere Only We Know,Keane,1,2004,1,20015,16,1089402494,107,69,5239,0,172,A,Pop
Those Eyes,New West,1,2019,5,1507,14,411747614,24,71,44,1,120,E,Alternative
El Gordo Trae El Mando,Chino Pacas,1,2023,1,539,21,255932395,7,71,4,2,140,G,Traditional Mexicano
Mi Bello Angel,Natanael Cano,1,2023,6,86,8,31873544,7,76,3,1,128,A,Traditional Mexicano
Nosso Quadro,"Ana Castela, AgroPlay",2,2023,2,894,9,233801632,14,88,66,3,160,A,Brazilian Music
Locked Out Of Heaven,Bruno Mars,1,2012,12,1622,9,1481349984,0,0,356,0,144,F,Pop
Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",3,2023,4,561,14,142095275,4,14,12,5,192,B,Latin Music
Counting Stars,OneRepublic,1,2013,1,29215,43,2011464183,179,97,3394,11,122,C#,Pop
One Dance,"Drake, WizKid, Kyla",3,2016,4,43257,24,2713922350,433,107,3631,0,104,C#,Rap/Hip Hop
Enchanted,Taylor Swift,1,2010,1,4564,16,621660989,24,101,113,0,164,G#,Country
Sure Thing,Miguel,1,2010,5,13801,19,950906471,137,125,435,6,81,B,R&B
Every Breath You Take - Remastered 2003,The Police,1,1983,1,22439,19,1593270737,211,74,929,0,117,C#,Rock
The Night We Met,Lord Huron,1,2015,2,18515,35,1410088830,70,82,939,1,174,D,Alternative
We Found Love,"Rihanna, Calvin Harris",2,2011,1,36843,21,1235005533,321,91,4607,1,128,C#,Pop
Let Me Down Slowly,Alec Benjamin,1,2018,5,5897,19,1374581173,0,0,885,0,150,C#,Pop
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",3,2023,6,727,16,94186466,17,60,28,1,90,A,Rap/Hip Hop
Do I Wanna Know?,Arctic Monkeys,1,2013,1,33783,26,1788326445,133,92,2733,1,85,F,Alternative
Demons,Imagine Dragons,1,2012,1,26694,13,1840364617,65,82,3425,4,180,D#,Rap/Hip Hop
ýýýýýýýýýýýý,YOASOBI,1,2023,4,356,16,143573775,35,102,8,1,166,C#,Electro
Reminder,The Weeknd,1,2016,11,6518,17,684675814,45,85,238,1,160,G#,R&B
Shake It Off,Taylor Swift,1,2014,1,21335,13,1113838873,328,70,1378,9,160,G,Singer & Songwriter
Why'd You Only Call Me When You're High?,Arctic Monkeys,1,2013,1,23389,29,1267333350,54,70,1089,2,92,D,Alternative
Shape of You,Ed Sheeran,1,2017,1,32181,10,3562543890,33,0,6808,7,96,C#,Pop
Creep,Radiohead,1,1992,9,36724,7,1271293243,146,72,6807,5,92,G,Alternative
Car's Outside,James Arthur,1,2019,10,794,10,265882712,38,25,61,0,150,A,Pop
Apocalypse,Cigarettes After Sex,1,2017,3,13091,17,841749534,61,96,790,2,94,F,Alternative
Cheques,Shubh,1,2023,5,67,8,47956378,7,10,0,0,90,E,Rap/Hip Hop
Pink + White,Frank Ocean,1,2016,8,21574,30,806397070,112,68,266,1,160,A,Pop
Just The Way You Are,Bruno Mars,1,2010,1,21106,13,1641426668,82,0,2946,0,109,F,Rock
Take Me To Church,Hozier,1,2013,9,23804,31,2135158446,187,99,4623,1,129,E,Alternative
Bebe Dame,"Fuerza Regida, Grupo Frontera",2,2022,12,849,22,367316268,27,129,21,7,157,G,Traditional Mexicano
Titi Me Preguntï¿,Bad Bunny,1,2022,5,9037,42,1264310836,124,133,139,14,107,F,Latin Music
Better Than Revenge (Taylor's Version),Taylor Swift,1,2023,7,86,11,30343206,3,33,3,0,146,B,Country
Shut up My Moms Calling,Hotel Ugly,1,2020,2,1788,14,405136812,1,50,19,0,139,A,R&B
Es un Secreto,Plan B,1,2010,7,492,36,540654286,4,3,19,0,95,F#,Reggaeton
POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",4,2023,6,773,33,57312735,20,46,21,8,170,G#,Latin Music
Ditto,NewJeans,1,2022,12,1154,22,397582059,28,125,11,1,134,F#,Asian Music
Take On Me,a-ha,1,1984,10,44927,17,1479115056,34,0,5108,6,84,F#,Pop
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",4,2023,6,551,4,86773632,13,46,20,1,146,B,Rap/Hip Hop
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",5,2023,5,577,14,133753727,22,18,15,1,74,A#,Rap/Hip Hop
AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",3,2022,11,995,19,463564958,12,117,9,5,136,B,Rap/Hip Hop
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",3,2023,5,178,6,64533040,6,71,1,0,100,E,Asian Music
S-Class,Stray Kids,1,2023,6,290,19,65496046,9,101,5,0,105,F,Asian Music
Hits Different,Taylor Swift,1,2023,5,547,0,68616963,15,15,6,0,106,F,Pop
Chanel,"Becky G, Peso Pluma",2,2023,3,681,10,161460990,15,92,21,2,132,D,Traditional Mexicano
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",2,2023,6,332,5,70106975,18,41,5,0,120,A,Rap/Hip Hop
Area Codes,"Kaliii, Kaliii",2,2023,3,1197,13,113509496,44,34,25,1,155,C#,Rap/Hip Hop
Abcdario,"Junior H, Eden Muï¿½ï",2,2023,5,262,5,89933133,8,60,4,1,129,G#,Latin Music
Obsessed,"Abhijay Sharma, Riar Saab",2,2022,9,161,6,71007139,10,79,2,0,135,F,Dance
FLOWER,JISOO,1,2023,3,839,18,232896922,20,110,20,0,124,A,Asian Music
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",3,2023,6,259,0,37126685,5,17,5,0,135,A,Rap/Hip Hop
Eyes Closed,Ed Sheeran,1,2023,3,2915,30,195576623,116,69,107,3,107,D,Pop
Escapism.,"RAYE, 070 Shake",2,2022,10,5129,25,532336353,116,84,114,18,96,D,Pop
La Jumpa,"Arcangel, Bad Bunny",2,2022,11,3794,34,538115192,47,77,53,10,123,G#,Latin Music
CHORRITO PA LAS ANIMAS,Feid,1,2022,12,2321,36,345031710,29,65,34,5,96,G#,Rap/Hip Hop
Ch y la Pizza,"Fuerza Regida, Natanael Cano",2,2022,12,536,10,288101651,10,72,8,3,149,G#,Traditional Mexicano
Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",2,2023,5,359,2,60350538,1,0,9,0,110,F#,Pop
Players,Coi Leray,1,2022,11,4096,6,335074782,118,48,143,0,105,F#,Rap/Hip Hop
Bite Me,ENHYPEN,1,2023,5,349,69,76767396,8,96,5,0,105,C#,Asian Music
Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",2,2023,5,381,5,46065667,23,82,6,0,134,B,Rap/Hip Hop
Normal,Feid,1,2022,7,2461,36,459276435,47,66,45,5,170,E,Rap/Hip Hop
Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",2,2023,6,277,1,39666245,1,20,5,0,81,F#,Rap/Hip Hop
Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo, Mari Fernandez",2,2023,3,967,5,138517666,7,29,51,1,154,F#,Brazilian Music
Bad Habit,Steve Lacy,1,2022,6,8186,12,822633917,155,72,131,16,169,C#,Pop
CUFF IT,Beyoncï¿,1,2022,7,7842,10,595900742,215,88,330,26,115,G,Pop
69,"Nicky Jam, Feid",2,2023,5,1134,22,57945987,39,14,48,2,93,G#,Rap/Hip Hop
Search & Rescue,Drake,1,2023,4,2066,6,175097833,58,70,43,0,142,A#,Rap/Hip Hop
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyoncï¿",2,2023,5,896,0,57089066,34,2,33,0,126,C#,Pop
Lavender Haze,Taylor Swift,1,2022,10,3763,8,488386797,51,43,38,10,97,A#,Pop
Efecto,Bad Bunny,1,2022,5,4004,33,1047480053,34,65,43,6,98,G,Latin Music
Erro Gostoso - Ao Vivo,Simone Mendes,1,2023,1,984,5,153454328,8,57,76,2,154,F#,Brazilian Music
Cupido,Tini,1,2023,2,1240,24,217672943,51,29,63,4,120,A,Pop
Just Wanna Rock,Lil Uzi Vert,1,2022,10,3995,13,457184829,72,27,47,0,150,B,Rap/Hip Hop
Until I Found You,Stephen Sanchez,1,2021,9,4427,4,726434358,69,100,154,20,202,A#,Singer & Songwriter
Rich Flex,"Drake, 21 Savage",2,2022,11,4657,18,573633020,84,84,42,0,153,B,Rap/Hip Hop
Easy On Me,Adele,1,2021,10,10195,20,1406111294,258,87,657,22,142,F,Pop
Danger (Spider) (Offset & JID),"Offset, JID",2,2023,6,214,0,24975653,3,3,6,0,143,B,Rap/Hip Hop
Oi Balde - Ao Vivo,Zï¿½ï¿½ Neto & Crist,1,2023,2,845,2,145458418,12,57,47,1,108,D,Brazilian Music
The Real Slim Shady,Eminem,1,2000,1,20763,27,1424589568,81,53,3271,1,104,F,Rap/Hip Hop
MERCHO,"Migrantes, LiL CaKe, Nico Valdi",3,2022,12,1267,20,231332117,41,22,56,4,93,F#,Rap/Hip Hop
The Color Violet,Tory Lanez,1,2021,12,2585,32,415932686,3,79,21,1,105,F#,R&B
Glimpse of Us,Joji,1,2022,6,6330,6,988515741,109,42,158,3,170,G#,Alternative
Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,5,675,1,50847624,9,13,11,0,178,C#,Reggaeton
Curtains,Ed Sheeran,1,2023,5,715,0,39893489,37,3,27,0,176,F#,Pop
UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers, LE SSERAFIM",2,2023,5,327,13,92035115,14,110,9,0,104,E,Asian Music
Haegeum,Agust D,1,2023,4,244,12,118810253,6,84,10,2,85,G,Asian Music
Never Felt So Alone,Labrinth,1,2023,4,1730,3,117747907,46,5,51,0,98,F,Alternative
X SI VOLVEMOS,"Karol G, Romeo Santos",2,2023,2,2127,33,266624541,45,80,53,8,178,C#,Rap/Hip Hop
ceilings,Lizzy McAlpine,1,2022,4,3242,9,293186992,67,55,48,0,148,A,Alternative
Cupid,Fifty Fifty,1,2023,2,526,10,139681964,15,93,30,0,120,D,Asian Music
I AM,IVE,1,2023,4,366,15,123132751,16,102,7,0,122,E,Asian Music
Shorty Party,"Cartel De Santa, La Kelly",2,2023,3,432,12,162887075,8,14,12,2,96,D,Rap/Hip Hop
Super,SEVENTEEN,1,2023,4,271,12,91221625,16,103,9,0,137,G#,Asian Music
Slut Me Out,NLE Choppa,1,2022,4,816,4,190490915,21,4,13,0,121,F#,Rap/Hip Hop
Double Fantasy (with Future),"The Weeknd, Future",2,2023,4,1169,0,96180277,36,65,28,0,119,A,Rap/Hip Hop
All Of The Girls You Loved Before,Taylor Swift,1,2019,8,1282,6,185240616,26,6,19,0,96,D,Pop
PROVENZA,Karol G,1,2022,4,6587,34,885093467,114,104,147,11,111,C#,Rap/Hip Hop
Di Que Si,"Grupo Marca Registrada, Grupo Frontera",2,2023,2,356,10,147290338,4,64,4,2,182,A,Traditional Mexicano
Igualito a Mi Apï¿,"Fuerza Regida, Peso Pluma",2,2022,12,265,6,158950978,8,84,5,1,145,E,Traditional Mexicano
Komang,Raim Laode,1,2022,8,158,4,137123880,5,6,1,1,134,G,Alternative
DESPECHï¿,ROSALï¿½,1,2022,7,7613,33,782369383,180,90,422,15,130,G,Pop
Made You Look,Meghan Trainor,1,2022,10,3956,6,502574952,142,23,127,3,145,A#,Pop
Watch This - ARIZONATEARS Pluggnb Remix,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",3,2023,2,1638,10,207033255,0,0,21,0,130,B,Rap/Hip Hop
Punto G,Quevedo,1,2022,11,1985,35,381161027,34,26,37,5,92,B,Reggaeton
Lovers Rock,TV Girl,1,2014,6,6339,13,466231982,3,1,36,1,105,F,Pop
METAMORPHOSIS,INTERWORLD,1,2021,11,1561,24,357580552,18,78,24,0,175,G,Electro
Mami Chula,"Quevedo, Jhayco",2,2023,4,875,4,61105704,17,13,27,0,120,G,Rap/Hip Hop
En Paris,"El Chachito, Junior H",2,2022,12,406,5,198275403,3,31,2,1,139,D#,Latin Music
I Was Never There,"The Weeknd, Gesaffelstein",2,2018,3,4188,15,705469769,30,70,142,0,114,A#,R&B
Don't ever say love me (feat. RM of BTS),"RM, Colde",2,2023,5,105,0,34502215,5,9,5,0,145,B,R&B
Gato de Noche,"Nengo Flow, Bad Bunny",2,2022,12,2651,30,304118600,21,55,32,3,94,G#,Reggaeton
Call Out My Name,The Weeknd,1,2018,3,11087,6,1449799467,151,107,801,1,134,C#,R&B
Like Crazy (English Version),Jimin,1,2023,3,373,19,173627354,4,72,5,0,120,G,Asian Music
Rosa Pastel,"Jasiel Nuï¿½ï¿½ez, Peso P",2,2023,2,200,4,90025258,8,77,2,1,123,G,Pop
Sunroof,"Nicky Youre, Dazy",2,2021,12,3741,17,652704649,156,35,110,19,131,A#,Pop
Lose Yourself - Soundtrack Version,Eminem,1,2002,1,32502,21,1829992958,247,54,5567,1,171,D,Rap/Hip Hop
Superman,"Eminem, Dina Rae",2,2002,5,7615,14,655466831,18,51,1005,0,130,E,Rap/Hip Hop
Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,3,1208,34,146409671,10,41,20,0,94,B,Reggaeton
People Pt.2 (feat. IU),"IU, Agust D",2,2023,4,209,4,95816024,4,45,11,2,89,G,Asian Music
REMIX EXCLUSIVO,Feid,1,2023,3,1235,9,117206995,20,8,15,0,87,F,Rap/Hip Hop
DOGTOOTH,"Tyler, The Creator",2,2023,3,1479,0,80758350,23,0,18,0,78,G#,Rap/Hip Hop
10:35,"Tiï¿½ï¿½sto, Tate M",2,2022,11,4942,26,325592432,190,104,147,18,120,G#,Dance
SORRY NOT SORRY,"Tyler, The Creator",2,2023,3,709,0,58473276,8,1,13,0,96,F#,Pop
HAPPY,NF,1,2023,3,660,0,52722996,22,7,11,0,106,G,Rap/Hip Hop
La Bebe,Yng Lvcas,1,2021,12,489,17,191945597,4,11,5,1,170,D,Latin Music
I Know - PR1SVX Edit,"Kanii, PR1ISVX",2,2023,3,407,0,77377503,16,15,5,0,134,B,Dance
Late Night Talking,Harry Styles,1,2022,5,7461,8,743693613,166,42,199,16,115,A#,Pop
Something in the Orange,Zach Bryan,1,2022,4,3282,12,449701773,67,84,46,16,110,G,Country
VOID,Melanie Martinez,1,2023,3,596,0,67070410,29,9,12,0,100,A,Alternative
Dijeron Que No La Iba Lograr,"Fuerza Regida, Chino Pacas",2,2023,3,320,6,116334601,5,48,2,1,142,G,Traditional Mexicano
If We Ever Broke Up,Mae Stephens,1,2023,2,2040,4,165584767,81,27,66,9,116,G,Pop
You Proof,Morgan Wallen,1,2022,5,2128,9,367814306,37,88,9,0,120,A,Country
LA INOCENTE,"Feid, Mora",2,2022,4,2598,37,477033549,28,57,43,8,92,F,Latin Music
Malas Decisiones,Kenia OS,1,2022,10,542,2,156214700,23,2,21,0,110,G#,Pop
Murder In My Mind,Kordhell,1,2022,1,2459,20,448843705,20,68,50,0,120,A#,Electro
CAIRO,"Karol G, Ovy On The Drums",2,2022,11,2418,26,294352144,52,66,55,1,115,F,Rap/Hip Hop
